distance_numeric,is_winner,is_top3,days_since_last_race,horse_name_decay_form_90,horse_rank_rolling_mean_10,horse_rank_rolling_std_10,horse_top3_rate_rolling_mean_5,horse_top3_rate_rolling_std_5,race_class_score,track_dist_avg_pos,prev_perf_index,horse_perf_avg_rolling_mean_5,horse_perf_avg_rolling_std_5,track_Ashburton,track_Awapuni,track_Ellerslie,track_Hastings,track_Hawera,track_Matamata,track_New Plymouth,track_Otaki,track_Pukekohe,track_Riccarton,track_Riccarton Synth,track_Rotorua,track_Ruakaka,track_Tauherinikau,track_Taupo,track_Tauranga,track_Te Aroha,track_Te Rapa,track_Trentham,track_Wanganui,track_Waverley,track_Wingatui,track_Woodville,race_type_2yo,race_type_2yoM,race_type_2yof,race_type_3yo,race_type_3yoM,race_type_3yof,race_type_Hrd,race_type_JmpF,race_type_Mdn,race_type_MdnF&M,race_type_MdnSpc,race_type_Open,race_type_R 65,race_type_R 65X,race_type_R 75,race_type_R 75X,race_type_R 85,race_type_WFA,race_type_WFAf&m,horse_name,race_id,position_numeric,relevance_score,group_id
1600.0,1,1,15.0,0.0,1.0,2.512395057075209,1.0,0.3906761888457202,0,3.1,0.0,0.0,0.0010978682557413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Pearl Of Alsace,20221203_Trentham_MdnSpc_1600.0,1.0,4.0,1
1600.0,1,1,7.0,0.8907334906242317,2.833333333333333,1.7224014243685086,0.8,0.4472135954999579,5,3.1,0.001875,0.0005400326797385,0.0005822934287351,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Prise De Fer,20221203_Trentham_WFA_1600.0,1.0,4.0,1
1200.0,1,1,49.0,0.907697594298597,2.25,2.5,0.75,0.5,0,3.5,0.0028571428571428,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wild Night,20221210_Te Rapa_3yo_1200.0,1.0,4.0,1
2400.0,0,1,21.0,0.4838972347124879,3.2,2.16794833886788,0.6,0.5477225575051661,3,4.0,0.0014285714285714,0.0003278585214069,0.0004145022753431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aromatic,20221210_Te Rapa_Open_2400.0,3.0,2.0,1
1200.0,1,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,0,3.5,0.0,0.0008560731104752,0.0010978682557413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Green Aeon,20221210_Te Rapa_R 75X_1200.0,1.0,4.0,1
2200.0,0,1,28.0,0.3981446042794639,2.0,1.0,1.0,0.0,0,3.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Aquacade,20221217_Te Rapa_R 75_2200.0,3.0,2.0,1
1100.0,1,1,30.0,0.0,1.0,2.512395057075209,1.0,0.3906761888457202,0,1.0,0.0,0.0,0.0010978682557413,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Tokyo Tycoon,20221226_Pukekohe_2yo_1100.0,1.0,4.0,1
1400.0,1,1,16.0,1.2455312485128358,2.0,2.2360679774997894,0.8,0.4472135954999579,2,2.0,0.0,0.0005714285714285,0.0012777531299998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wild Night,20221226_Pukekohe_3yo_1400.0,1.0,4.0,1
1200.0,0,1,16.0,0.0,1.0,2.512395057075209,1.0,0.3906761888457202,2,2.375,0.0,0.0,0.0010978682557413,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Green Aeon,20221226_Pukekohe_Open_1200.0,2.0,3.0,1
2050.0,1,1,55.0,0.1482785581586831,2.0,1.4142135623730951,1.0,0.0,5,2.0,0.0014634146341463,0.0004084967320261,0.0005777016186164,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Defibrillate,20221226_Pukekohe_WFA_2050.0,1.0,4.0,2
